连花清瘟胶囊,感冒/发热,26.80,0.35g*48粒,康泰制药,清瘟解毒，宣肺泄热，用于流行性感冒属热毒袭肺证,口服，一次4粒，一日3次,对本品过敏者禁用，运动员慎用,发热、肌肉酸痛、鼻塞、咳嗽、咽痛、头痛
复方氨酚烷胺片,感冒/发热,12.50,12片/盒,民生药业,缓解普通感冒及流感引起的发热、头痛、鼻塞、流涕、咽痛,口服，一次1片，一日2次,严重肝肾功能不全者禁用，服药期间禁止饮酒,发热、头痛、鼻塞、流涕、咽痛、四肢酸痛
感冒灵颗粒,感冒/发热,15.90,10g*9袋,三九药业,解热镇痛，用于感冒引起的头痛、发热、鼻塞、流涕、咽痛,开水冲服，一次1袋，一日3次,忌辛辣生冷食物，脾胃虚寒者慎用,头痛、发热、鼻塞、流涕、咽痛
双黄连口服液,感冒/发热,19.60,10ml*10支,太龙药业,疏风解表，清热解毒，用于风热感冒所致发热、咳嗽、咽痛,口服，一次20ml，一日3次,风寒感冒者不适用,发热、咳嗽、咽痛
藿香正气水,感冒/发热,11.80,10ml*10支,宏仁药业,解表化湿，理气和中，用于外感风寒、内伤湿滞、胃肠型感冒,口服，一次5-10ml，一日2次,酒精过敏者禁用,头痛昏重、胸膈痞闷、脘腹胀痛、呕吐泄泻
盐酸氨溴索口服溶液,咳嗽/呼吸道,28.50,100ml/瓶,恒瑞制药,用于急慢性呼吸道疾病引起的痰液粘稠、咳痰困难,口服，成人一次10ml，一日2次,对本品过敏者禁用,痰液粘稠、咳痰困难、咳嗽、胸闷
肺力咳合剂,咳嗽/呼吸道,29.80,150ml/瓶,葵花药业,清热解毒，镇咳祛痰，用于痰热犯肺所致的咳嗽痰黄,口服，成人一次20ml，一日3次,脾虚易腹泻者慎服,咳嗽、痰黄黏稠、支气管哮喘、气管炎
复方甘草片,咳嗽/呼吸道,8.90,100片/瓶,华源制药,镇咳祛痰，用于上呼吸道感染、支气管炎所致的咳嗽痰多,口服或含化，一次3-4片，一日3次,过敏者禁用，孕妇慎用,咳嗽、痰多、咽痛
急支糖浆,咳嗽/呼吸道,18.80,120ml/瓶,汇仁药业,清热化痰，宣肺止咳，用于外感风热所致的咳嗽,口服，一次20-30ml，一日3-4次,寒痰咳嗽者不适用,发热、恶寒、胸膈满闷、咳嗽咽痛
川贝枇杷膏,咳嗽/呼吸道,35.60,150ml/瓶,念慈菴分厂,润肺化痰、止咳平喘，用于伤风咳嗽、痰多气喘,口服，一次15毫升，一日3次,糖尿病患者禁用,咳嗽、痰多、咽干、咽痛、声音嘶哑
西瓜霜含片,咽喉/口腔,12.80,12片/盒,三金制药,清热解毒，消肿止痛，用于咽喉肿痛、口舌生疮,含服，一次1片，一日5-6次,过敏者禁用,咽喉肿痛、口舌生疮、牙龈肿痛、声音嘶哑
金嗓子喉片,咽喉/口腔,11.50,12片/盒,金嗓子药业,疏风清热，解毒利咽，用于急性咽炎所致咽痛、咽干,含服，一次1片，一日6次,过敏者禁用,咽痛、咽干、灼热、声音嘶哑
华素片,咽喉/口腔,9.90,15片/盒,四环制药,用于慢性咽喉炎、口腔溃疡、慢性牙龈炎、牙周炎,口含，一次1片，一日3-5次,对碘过敏者禁用,口腔溃疡、咽喉发炎、牙龈肿痛
甲硝唑含漱液,咽喉/口腔,16.80,200ml/瓶,广药集团,用于牙龈炎、牙周炎、冠周炎及口腔黏膜炎症,漱口，一次10-15ml，一日3次,过敏者禁用，不可内服,牙龈出血、牙周肿痛、口腔炎症、口臭
